,DC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
15-05-2020 00:00,0,27.0047637,25.0607889,0
15-05-2020 00:15,0,26.88081143,24.42186883,0
15-05-2020 00:30,0,26.68205534,24.42729031,0
15-05-2020 00:45,0,26.5005889,24.4206776,0
15-05-2020 01:00,0,26.596148,25.08821041,0
15-05-2020 01:15,0,26.51274003,25.31796967,0
15-05-2020 01:30,0,26.49433897,25.21719253,0
15-05-2020 01:45,0,26.42041021,25.06506231,0
15-05-2020 02:00,0,26.40194613,24.69146937,0
15-05-2020 02:15,0,26.22607821,24.55948079,0
15-05-2020 02:30,0,26.2603992,24.48240663,0
15-05-2020 02:45,0,26.2978261,24.4886982,0
15-05-2020 03:00,0,26.3282491,24.50628962,0
15-05-2020 03:15,0,26.15870973,24.59519743,0
15-05-2020 03:30,0,26.07849933,24.80131437,0
15-05-2020 03:45,0,26.00130397,24.60781745,0
15-05-2020 04:00,0,25.6972106,24.626179,0
15-05-2020 04:15,0,25.62770241,24.77314507,0
15-05-2020 04:30,0,25.48204579,24.79669075,0
15-05-2020 04:45,0,25.23093169,24.43690428,0
15-05-2020 05:00,0,25.1175986,24.10457963,0
15-05-2020 05:15,0,25.0918621,23.897232,0
15-05-2020 05:30,0,24.91696783,23.83947131,0
15-05-2020 05:45,0,24.7412738,23.7866618,0.002838055
15-05-2020 06:00,0,24.74278657,24.07722983,0.012961978
15-05-2020 06:15,0,24.7639109,24.35618945,0.021037669
15-05-2020 06:30,0,24.7863229,24.5488861,0.042435399
15-05-2020 06:45,0,25.0482451,25.746662,0.103495878
15-05-2020 07:00,0,25.6732025,28.67470703,0.199450484
15-05-2020 07:15,0,26.076818,30.72550493,0.317665026
15-05-2020 07:30,0,26.42423907,32.20680357,0.382913363
15-05-2020 07:45,0,27.12028752,34.59156221,0.448286663
15-05-2020 08:00,0,27.67897027,35.70585637,0.455027575
15-05-2020 08:15,0,27.95349233,36.78689773,0.509315263
15-05-2020 08:30,0,28.52621466,38.61774948,0.570911679
15-05-2020 08:45,0,29.31902147,40.7380359,0.625399981
15-05-2020 09:00,0,29.57204362,41.47150403,0.654205595
15-05-2020 09:15,0,30.09140723,43.4653736,0.702437341
15-05-2020 09:30,0,30.63865838,44.14519641,0.756682643
15-05-2020 09:45,0,31.37512003,45.719524,0.799745994
15-05-2020 10:00,0,31.89209383,46.1311739,0.828095938
15-05-2020 10:15,0,32.43747986,47.14350828,0.874833851
15-05-2020 10:30,0,33.07413527,48.6802898,0.908056073
15-05-2020 10:45,0,33.1924701,50.24956017,0.943352708
15-05-2020 11:00,0,33.46205667,51.61099133,0.957900105
15-05-2020 11:15,0,34.25179517,54.8943019,0.970447754
15-05-2020 11:30,0,34.65145467,56.08395293,0.987932009
15-05-2020 11:45,0,35.15152597,55.59379528,0.953344518
15-05-2020 12:00,0,35.16610503,57.4882405,0.946920194
15-05-2020 12:15,0,36.37757097,57.58858162,0.977187623
15-05-2020 12:30,0,35.96635757,58.8881528,0.956237537
15-05-2020 12:45,0,35.9929465,57.72948603,0.979090417
15-05-2020 13:00,0,36.45858145,60.38937679,0.926438212
15-05-2020 13:15,0,36.93956407,56.85950403,0.904246814
15-05-2020 13:30,0,36.89079345,57.14867328,0.895473906
15-05-2020 13:45,0,36.61437807,52.9806112,0.866027062
15-05-2020 14:00,0,36.84276607,54.8100049,0.837944387
15-05-2020 14:15,0,37.3528292,53.5389466,0.82612858
15-05-2020 14:30,0,37.26846587,51.3589315,0.681066022
15-05-2020 14:45,0,37.21659834,49.36587621,0.68664654
15-05-2020 15:00,0,37.11558027,50.19004317,0.653807127
15-05-2020 15:15,0,37.08661828,48.28441228,0.605137908
15-05-2020 15:30,0,36.62616283,45.37170127,0.448636589
15-05-2020 15:45,0,36.75573503,44.97519003,0.505614415
15-05-2020 16:00,0,36.75465755,45.03773752,0.450463589
15-05-2020 16:15,0,36.59955247,41.94711027,0.327143313
15-05-2020 16:30,0,36.25738223,40.56484677,0.29187837
15-05-2020 16:45,0,36.28795297,40.67958107,0.300254016
15-05-2020 17:00,0,36.00283697,39.21984663,0.203801124
15-05-2020 17:15,0,35.62733759,37.13426683,0.133998558
15-05-2020 17:30,0,35.2095745,35.678953,0.066811797
15-05-2020 17:45,0,34.73165155,34.00562066,0.028155149
15-05-2020 18:00,0,34.36776167,33.14801007,0.01789523
15-05-2020 18:15,0,33.985284,32.47362655,0.010471804
15-05-2020 18:30,0,33.54584963,31.70361947,0.002684918
15-05-2020 18:45,0,33.09357417,31.061414,0
15-05-2020 19:00,0,32.57998867,30.36881917,0
15-05-2020 19:15,0,32.10647055,29.57026941,0
15-05-2020 19:30,0,31.78520907,29.3748617,0
15-05-2020 19:45,0,31.50534476,28.92643162,0
15-05-2020 20:00,0,31.4473155,28.39059037,0
15-05-2020 20:15,0,30.79767863,27.45114633,0
15-05-2020 20:30,0,30.55072879,27.47504283,0
15-05-2020 20:45,0,31.04741059,29.37068955,0.000120426
15-05-2020 21:00,0,30.0076782,29.1692108,0
15-05-2020 21:15,0,28.97958373,28.14188523,0
15-05-2020 21:30,0,28.42710941,27.41392779,0
15-05-2020 21:45,0,28.30055247,27.0304251,0
15-05-2020 22:00,0,28.32985817,26.92777214,0
15-05-2020 22:15,0,28.324165,26.87666233,0
15-05-2020 22:30,0,28.22888173,26.848583,0
15-05-2020 22:45,0,28.14552676,26.7898349,0
15-05-2020 23:00,0,27.70949446,26.52979493,0
15-05-2020 23:30,0,26.95176844,25.08119722,0
15-05-2020 23:45,0,26.7558319,24.81448376,0
16-05-2020 00:00,0,26.52780647,24.43326407,0
16-05-2020 00:15,0,26.68731262,24.52914207,0
16-05-2020 00:30,0,26.63302783,24.68845123,0
16-05-2020 00:45,0,26.67657573,24.88044037,0
16-05-2020 01:00,0,26.44045593,24.55380876,0
16-05-2020 01:15,0,26.193042,24.11722213,0
16-05-2020 01:30,0,26.0033801,23.93489221,0
16-05-2020 01:45,0,25.95458273,23.97419733,0
16-05-2020 02:00,0,25.7327081,23.78122793,0
16-05-2020 02:15,0,25.4155729,23.33238027,0
16-05-2020 02:30,0,25.19277224,22.96086503,0
16-05-2020 02:45,0,24.89064633,22.69464427,0
16-05-2020 03:00,0,24.73890787,22.36363427,0
16-05-2020 03:15,0,24.38789214,22.10807434,0
16-05-2020 03:30,0,24.3363027,21.9420616,0
16-05-2020 03:45,0,24.44372538,21.88146162,0
16-05-2020 04:00,0,24.14510303,21.844981,0
16-05-2020 04:15,0,23.8268431,21.78638128,0
16-05-2020 04:30,0,23.9267099,21.9009552,0
16-05-2020 04:45,0,23.85060433,21.74698587,0
16-05-2020 05:00,0,23.55594497,21.46942345,0
16-05-2020 05:15,0,23.60817267,21.29009187,0
16-05-2020 05:30,0,23.65812755,21.13980431,0
16-05-2020 05:45,0,23.7527953,21.5181203,0.001471635
16-05-2020 06:00,0,24.04460457,22.218803,0.013038687
16-05-2020 06:15,0,23.96737555,22.68291921,0.035180242
16-05-2020 06:30,0,24.587146,23.91549477,0.060925588
16-05-2020 06:45,0,25.35418586,25.45905593,0.087556915
16-05-2020 07:00,0,25.97149147,27.4219574,0.127115761
16-05-2020 07:15,0,26.566503,28.13256421,0.197786869
16-05-2020 07:30,0,27.20900983,28.95577997,0.315163709
16-05-2020 07:45,0,27.76550487,34.2793511,0.305885265
16-05-2020 08:00,0,28.17533934,37.61465024,0.440460199
16-05-2020 08:15,0,29.1131897,42.30031597,0.489959157
16-05-2020 08:30,0,29.58924069,45.43612772,0.549968968
16-05-2020 08:45,0,30.2332306,47.4030934,0.578960932
16-05-2020 09:00,0,30.44131886,48.825895,0.656503246
16-05-2020 09:15,0,31.13129987,51.06770407,0.705570373
16-05-2020 09:30,0,31.73716327,54.30058103,0.75266092
16-05-2020 09:45,0,32.11526059,56.26471386,0.790835997
16-05-2020 10:00,0,32.42292273,56.885681,0.821054863
